,ENSEMBLE,REAL,ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
263,iter-0,43,LowerReek,2,0.0,0.0,0.0,0.0
264,iter-0,44,UpperReek,1,244478045.64,38853883.78,28396071.68,17859164.28
265,iter-0,44,UpperReek,2,0.0,0.0,0.0,0.0
266,iter-0,44,MidReek,1,191481845.04,30871912.02,22115255.15,13908965.27
267,iter-0,44,MidReek,2,0.0,0.0,0.0,0.0
268,iter-0,44,LowerReek,1,125272752.3,24588171.21,19948014.92,12545921.13
269,iter-0,44,LowerReek,2,0.0,0.0,0.0,0.0
270,iter-0,45,UpperReek,1,258956710.79,41023740.56,30433897.54,19140815.74
271,iter-0,45,UpperReek,2,0.0,0.0,0.0,0.0
272,iter-0,45,MidReek,1,205091471.49,39754244.18,31730409.18,19956231.85
273,iter-0,45,MidReek,2,0.0,0.0,0.0,0.0
274,iter-0,45,LowerReek,1,110209867.4,21214043.0,16801132.36,10566749.74
275,iter-0,45,LowerReek,2,0.0,0.0,0.0,0.0
276,iter-0,46,UpperReek,1,305147140.19,46618714.02,34185368.3,21500231.28
277,iter-0,46,UpperReek,2,0.0,0.0,0.0,0.0
278,iter-0,46,MidReek,1,238772629.72,42010179.61,32695401.7,20563145.39
279,iter-0,46,MidReek,2,0.0,0.0,0.0,0.0
280,iter-0,46,LowerReek,1,145305140.61,26995967.51,21748683.78,13678417.25
281,iter-0,46,LowerReek,2,0.0,0.0,0.0,0.0
282,iter-0,47,UpperReek,1,285483549.31,42085195.02,30773427.8,19354356.79
283,iter-0,47,UpperReek,2,0.0,0.0,0.0,0.0
284,iter-0,47,MidReek,1,199623239.08,34437717.26,27038338.16,17005243.84
285,iter-0,47,MidReek,2,0.0,0.0,0.0,0.0
286,iter-0,47,LowerReek,1,144037363.19,28335686.35,22741565.91,14302871.4
287,iter-0,47,LowerReek,2,0.0,0.0,0.0,0.0
288,iter-0,48,UpperReek,1,303267014.76,48736100.95,35641315.63,22415921.4
289,iter-0,48,UpperReek,2,0.0,0.0,0.0,0.0
290,iter-0,48,MidReek,1,258795617.23,47116336.8,37424054.95,23537141.09
291,iter-0,48,MidReek,2,0.0,0.0,0.0,0.0
292,iter-0,48,LowerReek,1,148987451.95,26518472.05,20695383.58,13015964.3
293,iter-0,48,LowerReek,2,0.0,0.0,0.0,0.0
294,iter-0,49,UpperReek,1,298048824.14,46299094.49,33270726.76,20924985.04
295,iter-0,49,UpperReek,2,0.0,0.0,0.0,0.0
296,iter-0,49,MidReek,1,229163282.73,37164194.51,26956500.91,16953773.87
297,iter-0,49,MidReek,2,0.0,0.0,0.0,0.0
298,iter-0,49,LowerReek,1,101763023.75,18225096.04,13322024.65,8378631.72
299,iter-0,49,LowerReek,2,0.0,0.0,0.0,0.0
300,iter-0,50,UpperReek,1,271170589.95,47233587.53,37227438.51,23413482.95
301,iter-0,50,UpperReek,2,0.0,0.0,0.0,0.0
302,iter-0,50,MidReek,1,254225667.86,52834214.3,43946672.87,27639416.44
303,iter-0,50,MidReek,2,0.0,0.0,0.0,0.0
304,iter-0,50,LowerReek,1,140956747.55,27706155.4,23002698.38,14467105.65
305,iter-0,50,LowerReek,2,0.0,0.0,0.0,0.0
306,iter-0,51,UpperReek,1,312911839.0,49287836.16,37006787.54,23274708.76
307,iter-0,51,UpperReek,2,0.0,0.0,0.0,0.0
308,iter-0,51,MidReek,1,212357196.55,39749025.56,31525126.01,19827122.94
309,iter-0,51,MidReek,2,0.0,0.0,0.0,0.0
310,iter-0,51,LowerReek,1,113955014.56,23219170.79,19489824.72,12257751.19
311,iter-0,51,LowerReek,2,0.0,0.0,0.0,0.0
312,iter-0,52,UpperReek,1,260594389.54,40128288.89,29268953.89,18408146.79
313,iter-0,52,UpperReek,2,0.0,0.0,0.0,0.0
314,iter-0,52,MidReek,1,214477109.13,38662781.98,30531405.96,19202141.79
315,iter-0,52,MidReek,2,0.0,0.0,0.0,0.0
316,iter-0,52,LowerReek,1,132112652.96,25742738.68,20350846.95,12799274.59
317,iter-0,52,LowerReek,2,0.0,0.0,0.0,0.0
318,iter-0,53,UpperReek,1,344324126.97,58415150.6,44480766.83,27975324.58
319,iter-0,53,UpperReek,2,0.0,0.0,0.0,0.0
320,iter-0,53,MidReek,1,241985160.65,41644046.63,32166750.19,20230660.16
321,iter-0,53,MidReek,2,0.0,0.0,0.0,0.0
322,iter-0,53,LowerReek,1,107350598.75,21381544.22,17158162.62,10791297.06
323,iter-0,53,LowerReek,2,0.0,0.0,0.0,0.0
324,iter-0,54,UpperReek,1,317827069.24,51428140.57,39326640.33,24733735.64
325,iter-0,54,UpperReek,2,0.0,0.0,0.0,0.0
326,iter-0,54,MidReek,1,237308814.71,38321156.05,29128123.16,18319574.01
327,iter-0,54,MidReek,2,0.0,0.0,0.0,0.0
328,iter-0,54,LowerReek,1,125742644.51,23198519.22,18515597.16,11645029.46
329,iter-0,54,LowerReek,2,0.0,0.0,0.0,0.0
330,iter-0,55,UpperReek,1,292540640.65,43938451.94,32151938.1,20221344.38
331,iter-0,55,UpperReek,2,0.0,0.0,0.0,0.0
332,iter-0,55,MidReek,1,234649037.99,39049881.49,29306235.35,18431594.26
333,iter-0,55,MidReek,2,0.0,0.0,0.0,0.0
334,iter-0,55,LowerReek,1,122633416.14,23133273.81,18399067.48,11571740.36
335,iter-0,55,LowerReek,2,0.0,0.0,0.0,0.0
336,iter-0,56,UpperReek,1,278069958.15,41406756.06,28561848.03,17963426.13
337,iter-0,56,UpperReek,2,0.0,0.0,0.0,0.0
338,iter-0,56,MidReek,1,188834367.65,35479379.6,27618166.5,17369915.75
339,iter-0,56,MidReek,2,0.0,0.0,0.0,0.0
340,iter-0,56,LowerReek,1,122340694.14,25199869.93,19555588.24,12299111.89
341,iter-0,56,LowerReek,2,0.0,0.0,0.0,0.0
342,iter-0,57,UpperReek,1,283525456.86,45235283.36,33434034.36,21027694.21
343,iter-0,57,UpperReek,2,0.0,0.0,0.0,0.0
344,iter-0,57,MidReek,1,223050908.87,39134298.79,30100044.99,18930845.59
345,iter-0,57,MidReek,2,0.0,0.0,0.0,0.0
346,iter-0,57,LowerReek,1,109502387.19,18300204.69,13208060.58,8306956.2
347,iter-0,57,LowerReek,2,0.0,0.0,0.0,0.0
348,iter-0,58,UpperReek,1,275593734.8,44100847.48,32385803.89,20368429.79
349,iter-0,58,UpperReek,2,0.0,0.0,0.0,0.0
350,iter-0,58,MidReek,1,225009551.56,36455043.21,26551996.34,16699368.49
351,iter-0,58,MidReek,2,0.0,0.0,0.0,0.0
352,iter-0,58,LowerReek,1,112490703.34,21083826.75,16699829.48,10503037.23
353,iter-0,58,LowerReek,2,0.0,0.0,0.0,0.0
354,iter-0,59,UpperReek,1,282069194.34,42823357.71,30959052.95,19471102.16
355,iter-0,59,UpperReek,2,0.0,0.0,0.0,0.0
356,iter-0,59,MidReek,1,223201561.21,44293092.9,35937324.26,22602090.35
357,iter-0,59,MidReek,2,0.0,0.0,0.0,0.0
358,iter-0,59,LowerReek,1,104222710.82,21448027.39,17658271.82,11105831.15
359,iter-0,59,LowerReek,2,0.0,0.0,0.0,0.0
360,iter-0,60,UpperReek,1,320807411.49,52686882.31,39590110.97,24899440.45
361,iter-0,60,UpperReek,2,0.0,0.0,0.0,0.0
362,iter-0,60,MidReek,1,200914462.51,38011209.64,30384853.51,19109970.44
363,iter-0,60,MidReek,2,0.0,0.0,0.0,0.0
364,iter-0,60,LowerReek,1,135215232.44,26580475.14,21466234.22,13500776.01
365,iter-0,60,LowerReek,2,0.0,0.0,0.0,0.0
366,iter-0,61,UpperReek,1,276007725.69,41592128.93,29968808.96,18848307.21
367,iter-0,61,UpperReek,2,0.0,0.0,0.0,0.0
368,iter-0,61,MidReek,1,214791725.67,38026570.86,29085622.03,18292843.74
369,iter-0,61,MidReek,2,0.0,0.0,0.0,0.0
370,iter-0,61,LowerReek,1,126906036.79,24607489.02,19260842.44,12113737.18
371,iter-0,61,LowerReek,2,0.0,0.0,0.0,0.0
372,iter-0,62,UpperReek,1,250756934.46,43808931.87,34233652.55,21530598.73
373,iter-0,62,UpperReek,2,0.0,0.0,0.0,0.0
374,iter-0,62,MidReek,1,205036647.53,37322594.68,28949771.21,18207402.98
